"setting","spec","check_type","group","item","target","calibrated","error","pass"
"Supplementary Setting III No Shared","separated_moderate","coefficient","psi0","Q3_A3",-0.75,-0.726000000000004,0.0239999999999965,TRUE
"Supplementary Setting III No Shared","separated_moderate","coefficient","psi0","Q2_A2",0.35,0.373999999993423,0.0239999999934227,TRUE
"Supplementary Setting III No Shared","separated_moderate","coefficient","psi0","Q1_A1",0.9,0.899999999963594,-3.64058783119958e-11,TRUE
"Supplementary Setting III No Shared","separated_moderate","difference","psi0","Q3_A3 - Q2_A2",-1.1,-1.09999999999343,6.57385257341048e-12,TRUE
"Supplementary Setting III No Shared","separated_moderate","difference","psi0","Q3_A3 - Q1_A1",-1.65,-1.6259999999636,0.0240000000364022,TRUE
"Supplementary Setting III No Shared","separated_moderate","difference","psi0","Q2_A2 - Q1_A1",-0.55,-0.525999999970171,0.0240000000298286,TRUE
"Supplementary Setting III No Shared","separated_moderate","coefficient","psi1","Q3_O3A3",0.7,0.7,0,TRUE
"Supplementary Setting III No Shared","separated_moderate","coefficient","psi1","Q2_O2A2",-0.35,-0.325999999997651,0.0240000000023493,TRUE
"Supplementary Setting III No Shared","separated_moderate","coefficient","psi1","Q1_O1A1",0.15,0.150000000000559,5.59330359806154e-13,TRUE
"Supplementary Setting III No Shared","separated_moderate","difference","psi1","Q3_O3A3 - Q2_O2A2",1.05,1.02599999999765,-0.0240000000023493,TRUE
"Supplementary Setting III No Shared","separated_moderate","difference","psi1","Q3_O3A3 - Q1_O1A1",0.55,0.549999999999441,-5.59330359806154e-13,TRUE
"Supplementary Setting III No Shared","separated_moderate","difference","psi1","Q2_O2A2 - Q1_O1A1",-0.5,-0.47599999999821,0.02400000000179,TRUE
"Supplementary Setting III No Shared","separated_moderate","coefficient","psi2","Q3_A2A3",-0.6,-0.599999999999999,7.7715611723761e-16,TRUE
"Supplementary Setting III No Shared","separated_moderate","coefficient","psi2","Q2_A1A2",0.55,0.525999999972101,-0.0240000000278993,TRUE
"Supplementary Setting III No Shared","separated_moderate","difference","psi2","Q3_A2A3 - Q2_A1A2",-1.15,-1.1259999999721,0.0240000000278999,TRUE
"Supplementary Setting III No Shared","separated_moderate","coefficient","psi3","Q3_A1A2A3",0.45,0.426,-0.0240000000000005,TRUE
