"setting","n","result_file","method","metric","mean","sd","non_null_reps"
"SupplSetting3_NoShared",100,"results_100.rds","evaluation_1","M",0.86155,0.0700688641883341,200
"SupplSetting3_NoShared",100,"results_100.rds","evaluation_1","M_weighted",0.931722951694258,0.0352191866273289,200
"SupplSetting3_NoShared",100,"results_100.rds","evaluation_1","A1_bias",-0.00574074279483195,0.194180190572714,200
"SupplSetting3_NoShared",100,"results_100.rds","evaluation_1","O1A1_bias",0.00209331339970368,0.187630321932545,200
"SupplSetting3_NoShared",100,"results_100.rds","evaluation_1","A2_bias",-0.0250330779043738,0.203018327750037,200
"SupplSetting3_NoShared",100,"results_100.rds","evaluation_1","O2A2_bias",0.00794432185760094,0.170370722913221,200
"SupplSetting3_NoShared",100,"results_100.rds","evaluation_1","A1A2_bias",0.0016118409971497,0.207314732042963,200
"SupplSetting3_NoShared",100,"results_100.rds","evaluation_1","A3_bias",-0.00517770431392379,0.16373077921142,200
"SupplSetting3_NoShared",100,"results_100.rds","evaluation_1","O3A3_bias",0.0126350704352199,0.122021068180834,200
"SupplSetting3_NoShared",100,"results_100.rds","evaluation_1","A2A3_bias",-0.00513334615468435,0.169044060656524,200
"SupplSetting3_NoShared",100,"results_100.rds","evaluation_1","A1A2A3_bias",-0.0157808335704321,0.165813594437502,200
"SupplSetting3_NoShared",100,"results_100.rds","evaluation_2","M",0.83895,0.0732545469115473,200
"SupplSetting3_NoShared",100,"results_100.rds","evaluation_2","M_weighted",0.920527101022519,0.0372554160405755,200
"SupplSetting3_NoShared",100,"results_100.rds","evaluation_2","A1_bias",-0.0238942639225005,0.188446603242114,200
"SupplSetting3_NoShared",100,"results_100.rds","evaluation_2","O1A1_bias",0.00995323173772021,0.177327478686679,200
"SupplSetting3_NoShared",100,"results_100.rds","evaluation_2","A2_bias",-0.066557659487343,0.197463490819557,200
"SupplSetting3_NoShared",100,"results_100.rds","evaluation_2","O2A2_bias",0.10317873633397,0.163105224860845,200
"SupplSetting3_NoShared",100,"results_100.rds","evaluation_2","A1A2_bias",-0.0736090170489423,0.205757060899654,200
"SupplSetting3_NoShared",100,"results_100.rds","evaluation_2","A3_bias",0.110249527523854,0.168294799445187,200
"SupplSetting3_NoShared",100,"results_100.rds","evaluation_2","O3A3_bias",-0.0514122386613363,0.128368563049357,200
"SupplSetting3_NoShared",100,"results_100.rds","evaluation_2","A2A3_bias",0.0521434894901166,0.1742587475417,200
"SupplSetting3_NoShared",100,"results_100.rds","evaluation_2","A1A2A3_bias",0.0190470220538103,0.161246590269607,200
"SupplSetting3_NoShared",100,"results_100.rds","evaluation_3","M",0.59945,0.0895897825967261,200
"SupplSetting3_NoShared",100,"results_100.rds","evaluation_3","M_weighted",0.765241987349192,0.0594392460125622,200
"SupplSetting3_NoShared",100,"results_100.rds","evaluation_3","A1_bias",-0.258041721299827,0.284726358356097,200
"SupplSetting3_NoShared",100,"results_100.rds","evaluation_3","O1A1_bias",0.179009026411517,0.172537379309791,200
"SupplSetting3_NoShared",100,"results_100.rds","evaluation_3","A2_bias",0.267958278670345,0.284726358356097,200
"SupplSetting3_NoShared",100,"results_100.rds","evaluation_3","O2A2_bias",0.655009026409727,0.172537379309791,200
"SupplSetting3_NoShared",100,"results_100.rds","evaluation_3","A1A2_bias",-0.283091760640215,0.295137734683497,200
