"setting","spec","check_type","group","item","target","calibrated","error","pass"
"Setting II","separated_moderate","coefficient","psi1","Q3_A1",0.55,0.323558598016168,-0.226441401983832,FALSE
"Setting II","separated_moderate","coefficient","psi1","Q2_A1",-0.15,0.128362564427995,0.278362564427995,FALSE
"Setting II","separated_moderate","difference","psi1","Q3_A1 - Q2_A1",0.7,0.195196033588172,-0.504803966411828,FALSE
"Setting II","separated_moderate","coefficient","psi2","Q3_A3",-0.7,-0.143828141389458,0.556171858610542,FALSE
"Setting II","separated_moderate","coefficient","psi2","Q2_A2",0.45,0.321989537691762,-0.128010462308238,FALSE
"Setting II","separated_moderate","difference","psi2","Q3_A3 - Q2_A2",-1.15,-0.46581767908122,0.68418232091878,FALSE
"Setting II","separated_moderate","coefficient","psi3","Q3_A1A3",0.95,0.456944020761533,-0.493055979238467,FALSE
"Setting II","separated_moderate","coefficient","psi3","Q2_A1A2",-0.35,0.107135887328095,0.457135887328095,FALSE
"Setting II","separated_moderate","difference","psi3","Q3_A1A3 - Q2_A1A2",1.3,0.349808133433439,-0.950191866566561,FALSE
"Setting II","separated_reversed","coefficient","psi1","Q3_A1",-0.5,-0.0801685415365197,0.41983145846348,FALSE
"Setting II","separated_reversed","coefficient","psi1","Q2_A1",0.3,-0.130710470663874,-0.430710470663874,FALSE
"Setting II","separated_reversed","difference","psi1","Q3_A1 - Q2_A1",-0.8,0.0505419291273539,0.850541929127354,FALSE
"Setting II","separated_reversed","coefficient","psi2","Q3_A3",0.65,0.112192041392629,-0.537807958607371,FALSE
"Setting II","separated_reversed","coefficient","psi2","Q2_A2",-0.45,-0.0435181180509799,0.40648188194902,FALSE
"Setting II","separated_reversed","difference","psi2","Q3_A3 - Q2_A2",1.1,0.155710159443609,-0.944289840556392,FALSE
"Setting II","separated_reversed","coefficient","psi3","Q3_A1A3",-0.85,-0.54580015873452,0.304199841265479,FALSE
"Setting II","separated_reversed","coefficient","psi3","Q2_A1A2",0.45,0.0383383313984882,-0.411661668601512,FALSE
"Setting II","separated_reversed","difference","psi3","Q3_A1A3 - Q2_A1A2",-1.3,-0.584138490133009,0.715861509866991,FALSE
"Setting II","separated_large","coefficient","psi1","Q3_A1",0.75,0.306986912746843,-0.443013087253157,FALSE
"Setting II","separated_large","coefficient","psi1","Q2_A1",-0.35,0.283373209834639,0.633373209834639,FALSE
"Setting II","separated_large","difference","psi1","Q3_A1 - Q2_A1",1.1,0.0236137029122041,-1.0763862970878,FALSE
"Setting II","separated_large","coefficient","psi2","Q3_A3",-0.9,-0.00679739132891081,0.893202608671089,FALSE
"Setting II","separated_large","coefficient","psi2","Q2_A2",0.65,0.307758610075629,-0.342241389924371,FALSE
"Setting II","separated_large","difference","psi2","Q3_A3 - Q2_A2",-1.55,-0.31455600140454,1.23544399859546,FALSE
"Setting II","separated_large","coefficient","psi3","Q3_A1A3",1.15,0.0975795582947161,-1.05242044170528,FALSE
"Setting II","separated_large","coefficient","psi3","Q2_A1A2",-0.55,0.0187547635680909,0.568754763568091,FALSE
"Setting II","separated_large","difference","psi3","Q3_A1A3 - Q2_A1A2",1.7,0.0788247947266252,-1.62117520527337,FALSE
