"setting","spec","check_type","group","item","target","calibrated","error","pass"
"Setting II","separated_moderate","target_definition","theta_target","Q3_intercept",0,0,0,TRUE
"Setting II","separated_moderate","target_definition","theta_target","Q3_A1",0.55,0.55,0,TRUE
"Setting II","separated_moderate","target_definition","theta_target","Q3_A2",0.2,0.2,0,TRUE
"Setting II","separated_moderate","target_definition","theta_target","Q3_A1A2",0.4,0.4,0,TRUE
"Setting II","separated_moderate","target_definition","theta_target","Q3_G1",0.8,0.8,0,TRUE
"Setting II","separated_moderate","target_definition","theta_target","Q3_A3",-0.7,-0.7,0,TRUE
"Setting II","separated_moderate","target_definition","theta_target","Q3_A1A3",0.95,0.95,0,TRUE
"Setting II","separated_moderate","target_definition","theta_target","Q3_A2A3",0.55,0.55,0,TRUE
"Setting II","separated_moderate","target_definition","theta_target","Q2_intercept",0,0,0,TRUE
"Setting II","separated_moderate","target_definition","theta_target","Q2_A1",-0.15,-0.15,0,TRUE
"Setting II","separated_moderate","target_definition","theta_target","Q2_A2",0.45,0.45,0,TRUE
"Setting II","separated_moderate","target_definition","theta_target","Q2_A1A2",-0.35,-0.35,0,TRUE
"Setting II","separated_moderate","target_definition","theta_target","Q1_intercept",0,0,0,TRUE
"Setting II","separated_moderate","target_definition","theta_target","Q1_A1",0.2,0.2,0,TRUE
"Setting II","separated_moderate","coefficient","psi1","Q3_A1",0.55,0.574000000000949,0.0240000000009487,TRUE
"Setting II","separated_moderate","coefficient","psi1","Q2_A1",-0.15,-0.150000000000197,-1.97397653778353e-13,TRUE
"Setting II","separated_moderate","difference","psi1","Q3_A1 - Q2_A1",0.7,0.724000000001146,0.0240000000011461,TRUE
"Setting II","separated_moderate","coefficient","psi2","Q3_A3",-0.7,-0.676000000000189,0.023999999999811,TRUE
"Setting II","separated_moderate","coefficient","psi2","Q2_A2",0.45,0.449999999999813,-1.87239113103033e-13,TRUE
"Setting II","separated_moderate","difference","psi2","Q3_A3 - Q2_A2",-1.15,-1.126,0.0239999999999982,TRUE
"Setting II","separated_moderate","coefficient","psi3","Q3_A1A3",0.95,0.926000000000172,-0.023999999999828,TRUE
"Setting II","separated_moderate","coefficient","psi3","Q2_A1A2",-0.35,-0.350000000000078,-7.84372566897673e-14,TRUE
"Setting II","separated_moderate","difference","psi3","Q3_A1A3 - Q2_A1A2",1.3,1.27600000000025,-0.0239999999997496,TRUE
