"setting","n","result_file","method","metric","mean","sd","non_null_reps"
"Setting2",100,"results_100.rds","evaluation_1","M",0.5281,0.436521644055187,200
"Setting2",100,"results_100.rds","evaluation_1","M_weighted",0.771605283335905,0.216837467949088,200
"Setting2",100,"results_100.rds","evaluation_1","A3_bias",-0.0105734815674383,0.146113742403908,200
"Setting2",100,"results_100.rds","evaluation_1","A2_bias_1",0.00198855888192811,0.182491418055338,200
"Setting2",100,"results_100.rds","evaluation_1","A2_bias_2",9.08867956930681e-05,0.212610742834108,200
"Setting2",100,"results_100.rds","evaluation_1","A1_bias_1",-0.00348472991152959,0.141545665163107,200
"Setting2",100,"results_100.rds","evaluation_1","A1_bias_2",-0.00164823085982026,0.238245085721149,200
"Setting2",100,"results_100.rds","evaluation_1","A1_bias_3",0.0423118511696764,0.186849787711622,200
"Setting2",100,"results_100.rds","evaluation_1","A1A3_bias",0.00299670716061386,0.125919277853953,200
"Setting2",100,"results_100.rds","evaluation_1","A1A2_bias_1",0.000478999237704709,0.137558017205629,200
"Setting2",100,"results_100.rds","evaluation_1","A1A2_bias_2",-0.0166121970917063,0.262048023394431,200
"Setting2",100,"results_100.rds","evaluation_2","M",0.40345,0.44385995063634,200
"Setting2",100,"results_100.rds","evaluation_2","M_weighted",0.707208950638609,0.225461270240062,200
"Setting2",100,"results_100.rds","evaluation_2","A3_bias",0.0427237897918494,0.155143304582146,200
"Setting2",100,"results_100.rds","evaluation_2","A2_bias_1",-0.00513685693998718,0.189116151757123,200
"Setting2",100,"results_100.rds","evaluation_2","A2_bias_2",-0.0785577456053957,0.222310105770607,200
"Setting2",100,"results_100.rds","evaluation_2","A1_bias_1",-0.0574367569843389,0.155673090907287,200
"Setting2",100,"results_100.rds","evaluation_2","A1_bias_2",0.116293034379648,0.24746732011984,200
"Setting2",100,"results_100.rds","evaluation_2","A1_bias_3",0.112673117427786,0.193400905780139,200
"Setting2",100,"results_100.rds","evaluation_2","A1A3_bias",-0.0277518830735325,0.129825419102883,200
"Setting2",100,"results_100.rds","evaluation_2","A1A2_bias_1",-0.0335725335797806,0.150622867409023,200
"Setting2",100,"results_100.rds","evaluation_2","A1A2_bias_2",0.076145182704408,0.259609375622106,200
"Setting2",100,"results_100.rds","evaluation_2_mis","M",0.4169,0.445966163621723,200
"Setting2",100,"results_100.rds","evaluation_2_mis","M_weighted",0.71387786737939,0.225310794456065,200
"Setting2",100,"results_100.rds","evaluation_2_mis","A3_bias",0.03568938552384,0.154889991059081,200
"Setting2",100,"results_100.rds","evaluation_2_mis","A2_bias_1",0.000473814662200169,0.187614150336122,200
"Setting2",100,"results_100.rds","evaluation_2_mis","A2_bias_2",-0.0754562129533902,0.220030208219,200
"Setting2",100,"results_100.rds","evaluation_2_mis","A1_bias_1",-0.0994447287378814,0.180514130301953,200
"Setting2",100,"results_100.rds","evaluation_2_mis","A1_bias_2",0.117625934602094,0.242683919799915,200
"Setting2",100,"results_100.rds","evaluation_2_mis","A1_bias_3",0.124176783195601,0.193084829484288,200
