"setting","setting_name","n","method","role","allocation_matching","weighted_allocation_matching","bias_a1","bias_a2","bias_a3","bias_a1a2","bias_a1a3","bias_a2a3","a_ff_match","a_source_match","a_outcome_match","a_story_match","a_efficacy_match","a_multiple_match","mean_m","mean_m_weighted","mean_abs_bias"
"I","Setting I",100,"Q learning","traditional","0.907 (0.133)","0.958 (0.062)","0.011 (0.175)","0.022 (0.186)","-0.004 (0.142)","-0.013 (0.178)","0.006 (0.117)","","","","","","","",0.90705,0.957794323382634,0.132510756890899
"I","Setting I",100,"Q shared","old_shared","0.924 (0.126)","0.966 (0.057)","0.019 (0.158)","0.005 (0.157)","0.019 (0.141)","-0.009 (0.135)","-0.016 (0.128)","","","","","","","",0.9244,0.966074584942563,0.118737254346206
"I","Setting I",100,"Misspecified Q shared","old_shared_mis","0.558 (0.457)","0.794 (0.216)","-0.081 (0.288)","0.000 (0.164)","0.019 (0.145)","-0.089 (0.159)","-0.016 (0.130)","","","","","","","",0.5578,0.793702293895849,0.174904683516677
"I","Setting I",100,"SQ learning (L1 penalty)","proposed_l1","0.917 (0.112)","0.963 (0.050)","0.012 (0.164)","0.018 (0.174)","-0.016 (0.136)","-0.012 (0.159)","-0.011 (0.121)","","","","","","","",0.917,0.962644122577448,0.124910578513055
"I","Setting I",100,"Misspecified SQ learning (L1 penalty)","proposed_l1_mis","0.896 (0.160)","0.953 (0.073)","-0.015 (0.198)","0.019 (0.181)","-0.011 (0.137)","-0.035 (0.177)","-0.006 (0.120)","","","","","","","",0.89595,0.953018040940333,0.13868339115536
"I","Setting I",100,"SQ learning (L2 penalty)","proposed_l2","0.914 (0.113)","0.961 (0.051)","0.010 (0.166)","0.018 (0.176)","-0.015 (0.136)","-0.015 (0.159)","-0.008 (0.121)","","","","","","","",0.91435,0.961437462471791,0.125273064561183
"I","Setting I",100,"Misspecified SQ learning (L2 penalty)","proposed_l2_mis","0.902 (0.147)","0.956 (0.068)","-0.017 (0.196)","0.020 (0.181)","-0.012 (0.141)","-0.038 (0.172)","-0.002 (0.120)","","","","","","","",0.9024,0.955829438923833,0.13867493895777
"I","Setting I",300,"Q learning","traditional","0.940 (0.073)","0.973 (0.033)","-0.010 (0.091)","0.018 (0.113)","0.006 (0.076)","-0.019 (0.094)","0.002 (0.059)","","","","","","","",0.93975,0.972990722612277,0.0731340019150568
"I","Setting I",300,"Q shared","old_shared","0.962 (0.047)","0.983 (0.021)","-0.000 (0.086)","0.009 (0.098)","0.019 (0.089)","-0.013 (0.072)","-0.022 (0.065)","","","","","","","",0.96195,0.982888354494801,0.0668492612917803
"I","Setting I",300,"Misspecified Q shared","old_shared_mis","0.779 (0.375)","0.900 (0.170)","-0.096 (0.260)","0.004 (0.103)","0.018 (0.089)","-0.091 (0.110)","-0.021 (0.066)","","","","","","","",0.779183333333333,0.899998487887747,0.146414356497346
"I","Setting I",300,"SQ learning (L1 penalty)","proposed_l1","0.947 (0.057)","0.976 (0.026)","-0.006 (0.088)","0.019 (0.108)","-0.004 (0.078)","-0.020 (0.084)","-0.011 (0.064)","","","","","","","",0.94675,0.976073630294083,0.0699480179993048
"I","Setting I",300,"Misspecified SQ learning (L1 penalty)","proposed_l1_mis","0.939 (0.070)","0.973 (0.031)","-0.016 (0.093)","0.017 (0.111)","0.002 (0.073)","-0.025 (0.089)","-0.003 (0.060)","","","","","","","",0.9387,0.972509680431881,0.0727354670694387
"I","Setting I",300,"SQ learning (L2 penalty)","proposed_l2","0.944 (0.062)","0.975 (0.028)","-0.007 (0.088)","0.018 (0.109)","-0.004 (0.076)","-0.019 (0.084)","-0.009 (0.062)","","","","","","","",0.943816666666667,0.974789762608837,0.0697804257247271
"I","Setting I",300,"Misspecified SQ learning (L2 penalty)","proposed_l2_mis","0.939 (0.071)","0.973 (0.032)","-0.019 (0.102)","0.016 (0.112)","0.003 (0.073)","-0.027 (0.094)","-0.001 (0.059)","","","","","","","",0.939433333333333,0.972841849807511,0.075916249393208
"I","Setting I",500,"Q learning","traditional","0.953 (0.064)","0.979 (0.028)","-0.004 (0.070)","0.002 (0.094)","0.002 (0.067)","-0.014 (0.077)","-0.005 (0.045)","","","","","","","",0.95344,0.979142841403672,0.0583809479584729
"I","Setting I",500,"Q shared","old_shared","0.967 (0.048)","0.985 (0.021)","0.006 (0.066)","-0.003 (0.081)","0.008 (0.072)","-0.011 (0.056)","-0.024 (0.054)","","","","","","","",0.96714,0.985261682339784,0.0538619699356195
"I","Setting I",500,"Misspecified Q shared","old_shared_mis","0.810 (0.357)","0.914 (0.164)","-0.089 (0.254)","-0.010 (0.088)","0.007 (0.076)","-0.090 (0.101)","-0.023 (0.057)","","","","","","","",0.81047,0.913632436019389,0.139576234271179
"I","Setting I",500,"SQ learning (L1 penalty)","proposed_l1","0.949 (0.055)","0.977 (0.025)","-0.000 (0.069)","0.006 (0.089)","-0.013 (0.065)","-0.017 (0.071)","-0.013 (0.047)","","","","","","","",0.94909,0.97716088119239,0.05637958385925
"I","Setting I",500,"Misspecified SQ learning (L1 penalty)","proposed_l1_mis","0.952 (0.055)","0.978 (0.025)","-0.009 (0.073)","0.003 (0.092)","-0.005 (0.065)","-0.021 (0.073)","-0.008 (0.046)","","","","","","","",0.95187,0.978426654685068,0.0586078068203145
