"setting","n","result_file","method","metric","mean","sd","non_null_reps"
"Setting1",100,"results_100.rds","evaluation_3_mis","A1A2_bias_2",-0.0643523769631407,0.128195914314538,200
"Setting1",100,"results_100.rds","evaluation_4","M",0.90145,0.170371741056884,200
"Setting1",100,"results_100.rds","evaluation_4","M_weighted",0.955043083594051,0.0811402662735714,200
"Setting1",100,"results_100.rds","evaluation_4","A3_bias",-0.00326865068535899,0.148293986177207,200
"Setting1",100,"results_100.rds","evaluation_4","A2_bias_1",0.0215336327691476,0.193822342154499,200
"Setting1",100,"results_100.rds","evaluation_4","A2_bias_2",0.0581791679438614,0.184214440500538,200
"Setting1",100,"results_100.rds","evaluation_4","A1_bias_1",-0.0124728762596924,0.164440298096894,200
"Setting1",100,"results_100.rds","evaluation_4","A1_bias_2",-0.00572934464757179,0.186986292841498,200
"Setting1",100,"results_100.rds","evaluation_4","A1_bias_3",0.00369803503141967,0.163932244189048,200
"Setting1",100,"results_100.rds","evaluation_4","A1A3_bias",0.00837653561935686,0.118744040672266,200
"Setting1",100,"results_100.rds","evaluation_4","A1A2_bias_1",0.0101431672088489,0.15933369001527,200
"Setting1",100,"results_100.rds","evaluation_4","A1A2_bias_2",-0.0386815533806829,0.175627018787973,200
"Setting1",100,"results_100.rds","evaluation_4_mis","M",0.8523,0.258534155476097,200
"Setting1",100,"results_100.rds","evaluation_4_mis","M_weighted",0.931195372959458,0.125456695821256,200
"Setting1",100,"results_100.rds","evaluation_4_mis","A3_bias",-0.00919521377402388,0.15611498436328,200
"Setting1",100,"results_100.rds","evaluation_4_mis","A2_bias_1",0.0181552541694245,0.196417474109624,200
"Setting1",100,"results_100.rds","evaluation_4_mis","A2_bias_2",0.0679906061010495,0.195141379367307,200
"Setting1",100,"results_100.rds","evaluation_4_mis","A1_bias_1",-0.0400642294462895,0.185303981915344,200
"Setting1",100,"results_100.rds","evaluation_4_mis","A1_bias_2",-0.0818704463584655,0.206246125680852,200
"Setting1",100,"results_100.rds","evaluation_4_mis","A1_bias_3",0.0479081675265136,0.168587344162764,200
"Setting1",100,"results_100.rds","evaluation_4_mis","A1A3_bias",0.00161462453604295,0.121176855637987,200
"Setting1",100,"results_100.rds","evaluation_4_mis","A1A2_bias_1",-0.00754552894260255,0.172158325853024,200
"Setting1",100,"results_100.rds","evaluation_4_mis","A1A2_bias_2",-0.0389472004221083,0.18809561667842,200
"Setting1",1000,"results_1000.rds","evaluation_1","M",0.962905,0.0445264979545944,200
"Setting1",1000,"results_1000.rds","evaluation_1","M_weighted",0.983355392382155,0.0199632618884929,200
"Setting1",1000,"results_1000.rds","evaluation_1","A3_bias",-0.00148324582574481,0.038654731616003,200
"Setting1",1000,"results_1000.rds","evaluation_1","A2_bias_1",0.00281968897747567,0.0515938340648655,200
"Setting1",1000,"results_1000.rds","evaluation_1","A2_bias_2",0.0121236456228996,0.0552303044117311,200
"Setting1",1000,"results_1000.rds","evaluation_1","A1_bias_1",0.00313338084405167,0.0423137964572043,200
"Setting1",1000,"results_1000.rds","evaluation_1","A1_bias_2",-0.0102339902153512,0.0511716433373393,200
"Setting1",1000,"results_1000.rds","evaluation_1","A1_bias_3",0.00666016168066665,0.0429737232592728,200
"Setting1",1000,"results_1000.rds","evaluation_1","A1A3_bias",-0.00879074592129585,0.0328807258934148,200
"Setting1",1000,"results_1000.rds","evaluation_1","A1A2_bias_1",-0.00306598131943133,0.0463117888565382,200
"Setting1",1000,"results_1000.rds","evaluation_1","A1A2_bias_2",-0.0189868566190602,0.0581832920122484,200
"Setting1",1000,"results_1000.rds","evaluation_2","M",0.962205,0.0444445674167757,200
"Setting1",1000,"results_1000.rds","evaluation_2","M_weighted",0.983026780588136,0.0199435481919894,200
"Setting1",1000,"results_1000.rds","evaluation_2","A3_bias",-0.000978059296768093,0.0388701245692888,200
"Setting1",1000,"results_1000.rds","evaluation_2","A2_bias_1",0.00228901853890826,0.0518450094501717,200
"Setting1",1000,"results_1000.rds","evaluation_2","A2_bias_2",0.0120656987840699,0.0527929693382546,200
"Setting1",1000,"results_1000.rds","evaluation_2","A1_bias_1",-0.00570516862691004,0.0478870986949159,200
"Setting1",1000,"results_1000.rds","evaluation_2","A1_bias_2",0.000456895562679227,0.0505695600930779,200
"Setting1",1000,"results_1000.rds","evaluation_2","A1_bias_3",0.0051870033184464,0.0428122545007026,200
"Setting1",1000,"results_1000.rds","evaluation_2","A1A3_bias",-0.00604379310042147,0.0331050704427689,200
"Setting1",1000,"results_1000.rds","evaluation_2","A1A2_bias_1",-0.00841562177537906,0.0497154854957486,200
"Setting1",1000,"results_1000.rds","evaluation_2","A1A2_bias_2",-0.0224730886982954,0.0580728862748354,200
"Setting1",1000,"results_1000.rds","evaluation_2_mis","M",0.961635,0.0446638114727839,200
"Setting1",1000,"results_1000.rds","evaluation_2_mis","M_weighted",0.982780907103687,0.0200294271057809,200
"Setting1",1000,"results_1000.rds","evaluation_2_mis","A3_bias",-0.00109247513632607,0.038085892196229,200
"Setting1",1000,"results_1000.rds","evaluation_2_mis","A2_bias_1",0.00241404038550614,0.0517299923854916,200
"Setting1",1000,"results_1000.rds","evaluation_2_mis","A2_bias_2",0.0118431805752038,0.0536449731295591,200
"Setting1",1000,"results_1000.rds","evaluation_2_mis","A1_bias_1",-0.00516701885385501,0.0459577814744601,200
"Setting1",1000,"results_1000.rds","evaluation_2_mis","A1_bias_2",-0.010419382862928,0.0514664538611804,200
"Setting1",1000,"results_1000.rds","evaluation_2_mis","A1_bias_3",0.0100900856020431,0.0418020263523848,200
"Setting1",1000,"results_1000.rds","evaluation_2_mis","A1A3_bias",-0.00721063060001662,0.0330372337610662,200
"Setting1",1000,"results_1000.rds","evaluation_2_mis","A1A2_bias_1",-0.00805562100654922,0.0482736342278076,200
"Setting1",1000,"results_1000.rds","evaluation_2_mis","A1A2_bias_2",-0.0208754739933212,0.0572005122292931,200
"Setting1",1000,"results_1000.rds","evaluation_3","M",0.946425,0.044860749091441,200
"Setting1",1000,"results_1000.rds","evaluation_3","M_weighted",0.975967067668095,0.0201037659414921,200
"Setting1",1000,"results_1000.rds","evaluation_3","A3_bias",0.0257666028309361,0.0407223904450695,200
"Setting1",1000,"results_1000.rds","evaluation_3","A2_bias_1",0.00103292484024196,0.0516542030542253,200
"Setting1",1000,"results_1000.rds","evaluation_3","A2_bias_2",-0.00182902754147097,0.0407223904450695,200
"Setting1",1000,"results_1000.rds","evaluation_3","A1_bias_1",-0.0453871438013317,0.0405075281276025,200
"Setting1",1000,"results_1000.rds","evaluation_3","A1_bias_2",0.0484932617727969,0.0405075281276025,200
