"setting","spec","check_type","group","item","target","calibrated","error","pass"
"Setting I","balanced_small","coefficient","psi1","Q3_A1",0.15,0.156832888057712,0.00683288805771193,TRUE
"Setting I","balanced_small","coefficient","psi1","Q2_A1",0.09,0.0899829422684891,-1.70577315109083e-05,TRUE
"Setting I","balanced_small","difference","psi1","Q3_A1 - Q2_A1",0.06,0.0668499457892228,0.00684994578922284,TRUE
"Setting I","balanced_small","coefficient","psi2","Q3_A3",-0.35,-0.346938985371952,0.00306101462804842,TRUE
"Setting I","balanced_small","coefficient","psi2","Q2_A2",-0.35,-0.343203878609929,0.00679612139007119,TRUE
"Setting I","balanced_small","difference","psi2","Q3_A3 - Q2_A2",0,-0.00373510676202277,-0.00373510676202277,TRUE
"Setting I","balanced_small","coefficient","psi3","Q3_A1A3",0.62,0.61315006029081,-0.00684993970918979,TRUE
"Setting I","balanced_small","coefficient","psi3","Q2_A1A2",0.6,0.593916759980303,-0.00608324001969662,TRUE
"Setting I","balanced_small","difference","psi3","Q3_A1A3 - Q2_A1A2",0.02,0.0192333003105069,-0.000766699689493167,TRUE
