"setting","spec","source","run_id","artifact_path","mc_n","target_tolerance","constraint_tolerance","best_value","max_abs_error","mean_abs_error","failed_checks","pass"
"Setting III","rw_sigma_moderate","production","current","Setting3/calibration/calibration_rw_sigma_moderate.rds",1000000,0.006,1e-04,5.06534091132438,0.170057376519539,0.0207505965281469,8,FALSE
"Setting III","rw_sigma_moderate","gate_candidate","tol006","Setting3/calibration/gate_candidates/tol006/calibration_rw_sigma_moderate.rds",1000000,0.006,1e-04,5.06534091132438,0.170057376519539,0.0207505965281469,8,FALSE
"Setting III","rw_sigma_moderate","gate_candidate","tol008","Setting3/calibration/gate_candidates/tol008/calibration_rw_sigma_moderate.rds",1000000,0.008,1e-04,5.05462321603765,0.170057376519539,0.0212384014061621,8,FALSE
