"setting","n","result_file","method","metric","mean","sd","non_null_reps"
"Setting3",100,"results_100.rds","evaluation_1","M",0.78685,0.118468355505938,200
"Setting3",100,"results_100.rds","evaluation_1","M_weighted",0.891826330423502,0.0642285472717731,200
"Setting3",100,"results_100.rds","evaluation_1","A1_bias",0.0275504425436454,0.188430996569335,200
"Setting3",100,"results_100.rds","evaluation_1","O1A1_bias",-0.00795577435586002,0.171025199458281,200
"Setting3",100,"results_100.rds","evaluation_1","A2_bias",0.0139390991834105,0.181031857244912,200
"Setting3",100,"results_100.rds","evaluation_1","O2A2_bias",-0.00182564253823243,0.145589301509575,200
"Setting3",100,"results_100.rds","evaluation_1","A1A2_bias",-0.0151027237586673,0.220447071437537,200
"Setting3",100,"results_100.rds","evaluation_1","A3_bias",0.0110021423473211,0.175787661290252,200
"Setting3",100,"results_100.rds","evaluation_1","O3A3_bias",-0.00684617132889345,0.118408741758284,200
"Setting3",100,"results_100.rds","evaluation_1","A2A3_bias",-0.0186745990998453,0.156011552983284,200
"Setting3",100,"results_100.rds","evaluation_1","A1A2A3_bias",0.00808279977486288,0.18244467408535,200
"Setting3",100,"results_100.rds","evaluation_2","M",0.7891,0.11277313019719,200
"Setting3",100,"results_100.rds","evaluation_2","M_weighted",0.893591751941477,0.0606745760704408,200
"Setting3",100,"results_100.rds","evaluation_2","A1_bias",0.0212317929584506,0.189637371520892,200
"Setting3",100,"results_100.rds","evaluation_2","O1A1_bias",-0.00598151346619563,0.145534569958955,200
"Setting3",100,"results_100.rds","evaluation_2","A2_bias",0.0617117358065189,0.167537929949183,200
"Setting3",100,"results_100.rds","evaluation_2","O2A2_bias",0.0189585613458828,0.127106062322333,200
"Setting3",100,"results_100.rds","evaluation_2","A1A2_bias",-0.0207012835358459,0.190149865724426,200
"Setting3",100,"results_100.rds","evaluation_2","A3_bias",0.131629746447488,0.19760778545222,200
"Setting3",100,"results_100.rds","evaluation_2","O3A3_bias",-0.0370832883916033,0.104090402972621,200
"Setting3",100,"results_100.rds","evaluation_2","A2A3_bias",-0.0420457487620834,0.144000325514568,200
"Setting3",100,"results_100.rds","evaluation_2","A1A2A3_bias",0.0304572350515741,0.181578211536362,200
"Setting3",100,"results_100.rds","evaluation_3","M",0.7122,0.113004469160522,200
"Setting3",100,"results_100.rds","evaluation_3","M_weighted",0.845608722949231,0.071579640874801,200
"Setting3",100,"results_100.rds","evaluation_3","A1_bias",0.0108659198037631,0.211902128520643,200
"Setting3",100,"results_100.rds","evaluation_3","O1A1_bias",-0.046747120694623,0.0988631844699292,200
"Setting3",100,"results_100.rds","evaluation_3","A2_bias",0.265082359678121,0.211902128520643,200
"Setting3",100,"results_100.rds","evaluation_3","O2A2_bias",0.086840694502001,0.0988631844699292,200
"Setting3",100,"results_100.rds","evaluation_3","A1A2_bias",-0.0281205803312704,0.163227919483589,200
"Setting3",100,"results_100.rds","evaluation_3","A3_bias",0.600234449190357,0.211902128520643,200
"Setting3",100,"results_100.rds","evaluation_3","O3A3_bias",-0.0467471678501537,0.0988631844699292,200
"Setting3",100,"results_100.rds","evaluation_3","A2A3_bias",-0.0948485512003637,0.163227919483589,200
"Setting3",100,"results_100.rds","evaluation_3","A1A2A3_bias",0.0610856801451389,0.210437297956089,200
"Setting3",100,"results_100.rds","evaluation_4","M",0.7895,0.113756108676882,200
"Setting3",100,"results_100.rds","evaluation_4","M_weighted",0.893931865285031,0.0607428925068402,200
"Setting3",100,"results_100.rds","evaluation_4","A1_bias",0.0185795746158372,0.191324782755477,200
"Setting3",100,"results_100.rds","evaluation_4","O1A1_bias",-0.00387635598246378,0.150920411873296,200
"Setting3",100,"results_100.rds","evaluation_4","A2_bias",0.059536886377463,0.157247106123514,200
"Setting3",100,"results_100.rds","evaluation_4","O2A2_bias",0.0109037948652489,0.125523954450043,200
"Setting3",100,"results_100.rds","evaluation_4","A1A2_bias",-0.0135881788773018,0.188898091270133,200
"Setting3",100,"results_100.rds","evaluation_4","A3_bias",0.141371822902562,0.176978026655289,200
"Setting3",100,"results_100.rds","evaluation_4","O3A3_bias",-0.0286506180474842,0.100587321534479,200
