"setting","spec","check_type","group","item","target","calibrated","error","pass"
"Setting III","rw_sigma_moderate","coefficient","psi0","Q3_A3",-0.22,-0.545571440320396,-0.325571440320396,FALSE
"Setting III","rw_sigma_moderate","coefficient","psi0","Q2_A2",-0.3,-0.387472312033997,-0.0874723120339967,FALSE
"Setting III","rw_sigma_moderate","coefficient","psi0","Q1_A1",-0.38,0.205433810446118,0.585433810446118,FALSE
"Setting III","rw_sigma_moderate","difference","psi0","Q3_A3 - Q2_A2",0.08,-0.1580991282864,-0.2380991282864,FALSE
"Setting III","rw_sigma_moderate","difference","psi0","Q3_A3 - Q1_A1",0.16,-0.751005250766514,-0.911005250766514,FALSE
"Setting III","rw_sigma_moderate","difference","psi0","Q2_A2 - Q1_A1",0.08,-0.592906122480115,-0.672906122480115,FALSE
"Setting III","rw_sigma_moderate","coefficient","psi1","Q3_O3A3",0.58,0.502691513089553,-0.0773084869104469,FALSE
"Setting III","rw_sigma_moderate","coefficient","psi1","Q2_O2A2",0.5,0.305190952949932,-0.194809047050068,FALSE
"Setting III","rw_sigma_moderate","coefficient","psi1","Q1_O1A1",0.42,0.518145037560076,0.0981450375600764,FALSE
"Setting III","rw_sigma_moderate","difference","psi1","Q3_O3A3 - Q2_O2A2",0.08,0.197500560139621,0.117500560139621,FALSE
"Setting III","rw_sigma_moderate","difference","psi1","Q3_O3A3 - Q1_O1A1",0.16,-0.0154535244705233,-0.175453524470523,FALSE
"Setting III","rw_sigma_moderate","difference","psi1","Q2_O2A2 - Q1_O1A1",0.08,-0.212954084610145,-0.292954084610145,FALSE
"Setting III","rw_sigma_moderate","coefficient","psi2","Q3_A2A3",0.41,0.290384655115583,-0.119615344884417,FALSE
"Setting III","rw_sigma_moderate","coefficient","psi2","Q2_A1A2",0.29,-0.0602463246195101,-0.35024632461951,FALSE
"Setting III","rw_sigma_moderate","difference","psi2","Q3_A2A3 - Q2_A1A2",0.12,0.350630979735093,0.230630979735093,FALSE
"Setting III","rw_sigma_moderate","coefficient","psi3","Q3_A1A2A3",-0.28,-0.0603671585201695,0.219632841479831,FALSE
"Setting III","rw_sigma_tight","coefficient","psi0","Q3_A3",-0.26,-0.741251745122105,-0.481251745122105,FALSE
