"setting","n","result_file","method","metric","mean","sd","non_null_reps"
"Setting4",100,"results_100.rds","evaluation_1","M",0.5468,0.334810769325423,200
"Setting4",100,"results_100.rds","evaluation_1","M_weighted",0.84975,0.125891100698438,200
"Setting4",100,"results_100.rds","evaluation_1","A_source_match",0.96915,0.144899124501865,200
"Setting4",100,"results_100.rds","evaluation_1","A_outcome_match",0.8591,0.229575071747433,200
"Setting4",100,"results_100.rds","evaluation_1","A_story_match",0.91395,0.192361410008093,200
"Setting4",100,"results_100.rds","evaluation_1","A_efficacy_match",0.7591,0.27390933099849,200
"Setting4",100,"results_100.rds","evaluation_1","A_multiple_match",0.6931,0.358660811755964,200
"Setting4",100,"results_100.rds","evaluation_1","A_FF_match",0.9041,0.100776831907171,200
"Setting4",100,"results_100.rds","evaluation_1","Q2_intercept_bias",0.00215970828565257,0.165200777036091,200
"Setting4",100,"results_100.rds","evaluation_1","Q2_PQQuit_bias",-0.0100129780766625,0.173491486253175,200
"Setting4",100,"results_100.rds","evaluation_1","Q2_PQSE_bias",0.0112846227771113,0.156984051105753,200
"Setting4",100,"results_100.rds","evaluation_1","Q2_PQMotiv_bias",-0.00424114189782624,0.151645050242238,200
"Setting4",100,"results_100.rds","evaluation_1","Q2_LowEducation_bias",0.0163353739366972,0.169327543382036,200
"Setting4",100,"results_100.rds","evaluation_1","Q2_A_FF_bias",-0.0123797397527468,0.167668124401226,200
"Setting4",100,"results_100.rds","evaluation_1","Q2_PQQuit_A_FF_bias",0.00312805839292153,0.174244015369527,200
"Setting4",100,"results_100.rds","evaluation_1","Q2_PQSE_A_FF_bias",0.0106094055134013,0.17133254945957,200
"Setting4",100,"results_100.rds","evaluation_1","Q2_PQMotiv_A_FF_bias",0.0130921815149159,0.156814161916341,200
"Setting4",100,"results_100.rds","evaluation_1","Q2_LowEducation_A_FF_bias",-0.0113289459074125,0.18382836834097,200
"Setting4",100,"results_100.rds","evaluation_1","Q1_intercept_bias",0.0139506382463899,0.191953055206036,200
"Setting4",100,"results_100.rds","evaluation_1","Q1_QuitSE_bias",-0.0121417841770893,0.224685992004633,200
"Setting4",100,"results_100.rds","evaluation_1","Q1_QuitMotiv_bias",0.0305582582170788,0.226424860265153,200
"Setting4",100,"results_100.rds","evaluation_1","Q1_LowEducation_bias",-0.00102304201127085,0.271810875652087,200
